target_end_date,value,type,quantile,forecast_date,target,location
2020-11-23,144.4220760331199,quantile,0.650,2020-11-20,3 day ahead inc hosp,25
2020-11-23,147.71919452894474,quantile,0.700,2020-11-20,3 day ahead inc hosp,25
2020-11-23,151.34029822346398,quantile,0.750,2020-11-20,3 day ahead inc hosp,25
2020-11-23,155.45047097973318,quantile,0.800,2020-11-20,3 day ahead inc hosp,25
2020-11-23,160.3464127195205,quantile,0.850,2020-11-20,3 day ahead inc hosp,25
2020-11-23,166.66986376440545,quantile,0.900,2020-11-20,3 day ahead inc hosp,25
2020-11-23,176.38391668940295,quantile,0.950,2020-11-20,3 day ahead inc hosp,25
2020-11-23,185.14794796839982,quantile,0.975,2020-11-20,3 day ahead inc hosp,25
2020-11-23,195.7441801130959,quantile,0.990,2020-11-20,3 day ahead inc hosp,25
2020-11-24,90.20334706332999,quantile,0.010,2020-11-20,4 day ahead inc hosp,25
2020-11-24,96.6663183071754,quantile,0.025,2020-11-20,4 day ahead inc hosp,25
2020-11-24,102.49733412781478,quantile,0.050,2020-11-20,4 day ahead inc hosp,25
2020-11-24,109.54316930993771,quantile,0.100,2020-11-20,4 day ahead inc hosp,25
2020-11-24,114.49801781895701,quantile,0.150,2020-11-20,4 day ahead inc hosp,25
2020-11-24,118.55434372374378,quantile,0.200,2020-11-20,4 day ahead inc hosp,25
2020-11-24,122.11938345761573,quantile,0.250,2020-11-20,4 day ahead inc hosp,25
2020-11-24,125.3888785450998,quantile,0.300,2020-11-20,4 day ahead inc hosp,25
2020-11-24,128.47674947703447,quantile,0.350,2020-11-20,4 day ahead inc hosp,25
2020-11-24,131.45923969479787,quantile,0.400,2020-11-20,4 day ahead inc hosp,25
2020-11-24,134.3939669413682,quantile,0.450,2020-11-20,4 day ahead inc hosp,25
2020-11-24,137.32987103908323,quantile,0.500,2020-11-20,4 day ahead inc hosp,25
2020-11-24,138.84472110217297,point,NA,2020-11-20,4 day ahead inc hosp,25
2020-11-24,140.31361667853915,quantile,0.550,2020-11-20,4 day ahead inc hosp,25
2020-11-24,143.39496676710323,quantile,0.600,2020-11-20,4 day ahead inc hosp,25
2020-11-24,146.6328382836409,quantile,0.650,2020-11-20,4 day ahead inc hosp,25
2020-11-24,150.10408884187993,quantile,0.700,2020-11-20,4 day ahead inc hosp,25
2020-11-24,153.91887169263003,quantile,0.750,2020-11-20,4 day ahead inc hosp,25
2020-11-24,158.2518804041289,quantile,0.800,2020-11-20,4 day ahead inc hosp,25
2020-11-24,163.4172816663146,quantile,0.850,2020-11-20,4 day ahead inc hosp,25
2020-11-24,170.09497880908555,quantile,0.900,2020-11-20,4 day ahead inc hosp,25
2020-11-24,180.36618862864438,quantile,0.950,2020-11-20,4 day ahead inc hosp,25
2020-11-24,189.64559121133644,quantile,0.975,2020-11-20,4 day ahead inc hosp,25
2020-11-24,200.88000170497924,quantile,0.990,2020-11-20,4 day ahead inc hosp,25
2020-11-25,89.98990951539206,quantile,0.010,2020-11-20,5 day ahead inc hosp,25
2020-11-25,96.69011937067847,quantile,0.025,2020-11-20,5 day ahead inc hosp,25
2020-11-25,102.74602414769389,quantile,0.050,2020-11-20,5 day ahead inc hosp,25
2020-11-25,110.0762785057463,quantile,0.100,2020-11-20,5 day ahead inc hosp,25
2020-11-25,115.23889115169078,quantile,0.150,2020-11-20,5 day ahead inc hosp,25
2020-11-25,119.46979481513381,quantile,0.200,2020-11-20,5 day ahead inc hosp,25
2020-11-25,123.19146030989829,quantile,0.250,2020-11-20,5 day ahead inc hosp,25
2020-11-25,126.60712599363197,quantile,0.300,2020-11-20,5 day ahead inc hosp,25
2020-11-25,129.83519742463858,quantile,0.350,2020-11-20,5 day ahead inc hosp,25
2020-11-25,132.95502710498482,quantile,0.400,2020-11-20,5 day ahead inc hosp,25
2020-11-25,136.02668764716665,quantile,0.450,2020-11-20,5 day ahead inc hosp,25
2020-11-25,139.101311731132,quantile,0.500,2020-11-20,5 day ahead inc hosp,25
2020-11-25,140.74244574919024,point,NA,2020-11-20,5 day ahead inc hosp,25
2020-11-25,142.22776563638962,quantile,0.550,2020-11-20,5 day ahead inc hosp,25
2020-11-25,145.45827235740217,quantile,0.600,2020-11-20,5 day ahead inc hosp,25
2020-11-25,148.85477419622438,quantile,0.650,2020-11-20,5 day ahead inc hosp,25
2020-11-25,152.49818905991714,quantile,0.700,2020-11-20,5 day ahead inc hosp,25
2020-11-25,156.50460906350534,quantile,0.750,2020-11-20,5 day ahead inc hosp,25
2020-11-25,161.05828512174378,quantile,0.800,2020-11-20,5 day ahead inc hosp,25
2020-11-25,166.49076672552962,quantile,0.850,2020-11-20,5 day ahead inc hosp,25
2020-11-25,173.51995954364864,quantile,0.900,2020-11-20,5 day ahead inc hosp,25
2020-11-25,184.34479207764795,quantile,0.950,2020-11-20,5 day ahead inc hosp,25
2020-11-25,194.13707523816205,quantile,0.975,2020-11-20,5 day ahead inc hosp,25
2020-11-25,206.00750730758904,quantile,0.990,2020-11-20,5 day ahead inc hosp,25
2020-11-26,89.82905354133968,quantile,0.010,2020-11-20,6 day ahead inc hosp,25
2020-11-26,96.76042905958805,quantile,0.025,2020-11-20,6 day ahead inc hosp,25
2020-11-26,103.03607874174118,quantile,0.050,2020-11-20,6 day ahead inc hosp,25
2020-11-26,110.6449579125281,quantile,0.100,2020-11-20,6 day ahead inc hosp,25
